expt,smiles
-11.01,CN(C)C(=O)c1ccc(cc1)OC
-4.87,CS(=O)(=O)Cl
1.83,CC(C)C=C
-5.45,CCc1cnccn1
-4.21,CCCCCCCO
-6.27,Cc1cc(cc(c1)O)C
2.34,CC(C)C(C)C
-3.92,CCCC(C)(C)O
1.58,C[C@@H]1CCCC[C@@H]1C
-4.62,CC[C@H](C)O
-1.96,C(Br)Br
-3.88,CC[C@H](C(C)C)O
-4.33,CCc1ccccn1
-2.49,CCCCC(=O)OCC
-2.55,c1ccc(cc1)S
-4.78,CC(=CCC/C(=C\CO)/C)C
-1.46,c1ccc2c(c1)CCC2
-2.22,CCOc1ccccc1
-5.85,c1cc(ccc1O)Br
2.88,CCCC(C)(C)C
-6.34,CC(=O)OCCOC(=O)C
-6.1,CCOP(=S)(OCC)SCSP(=S)(OCC)OCC
-5.48,C1CCCC(CC1)O
-4.1,COC(=O)C1CC1
-4.1,c1ccc(cc1)C#N
-3.52,CCCCC#N
-4.47,CC(C)(C)O
-2.74,CC(C)C(=O)C(C)C
-3.43,CCC=O
-7.81,CN(C)C=O
-0.8,Cc1ccc(cc1)C
0.93,C=CCC=C
-6.78,Cc1cccc(c1C)Nc2ccccc2C(=O)O
-9.29,CN(C)C(=O)c1ccccc1
-4.07,CCNCC
-5.91,CC(C)(C)c1ccc(cc1)O
-2.13,CC(C)CCOC=O
-3.64,CCCCCCCCCCO
-2.68,CCC(=O)OCC
3.13,CCCCCCCCC
-10,CC(=O)NC
2.06,CCCCCCCC=C
-8.11,c1ccc2cc(ccc2c1)O
-1.12,c1cc(c(cc1Cl)Cl)Cl
-23.62,C([C@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O)O
-2.83,CCCC(=O)OC
-4.68,c1ccc(c(c1)C=O)O
-5.56,C1CNC1
-3.65,CCCNCCC
-5.49,c1ccc(cc1)N
3.12,C(F)(F)(F)F
-4.42,CC[C@@H](C)CO
-6.2,c1ccc(c(c1)O)I
-6.96,COc1cccc(c1O)OC
-0.16,CCC#C
-0.25,c1ccc(cc1)C(F)(F)F
-9.3,NN
-4.63,Cc1ccccn1
-10.22,CCNc1nc(nc(n1)Cl)NCC
-3.56,c1ccc2c(c1)Oc3cc(c(cc3O2)Cl)Cl
-3.65,CCCCCCCCN
-4.29,N
1.07,c1ccc(c(c1)C(F)(F)F)C(F)(F)F
-9.51,COC(=O)c1ccc(cc1)O
-0.23,CCCCCc1ccccc1
-0.11,CC(F)F
-16.43,c1ccc(cc1)n2c(=O)c(c(cn2)N)Cl
0.56,C=CC=C
-3.2,CN(C)C
-9.31,CCCCCC(=O)N
-1.88,CC(C)CO[N+](=O)[O-]
-14.21,c1ccc2c(c1)C(=O)c3cccc(c3C2=O)NCCO
-8.18,C(CO[N+](=O)[O-])O
-2.88,CCCCCCC(=O)C
-7.77,CN1CCNCC1
-4.5,CCN
-0.99,C1C=CC=CC=C1
-3.78,c1ccc2c(c1)Cc3ccccc3C2
-0.84,CC(Cl)Cl
-7.66,COc1cccc(c1)O
-3.15,c1cc2cccc3c2c(c1)CC3
0.52,CCCCCCCCBr
-6.62,c1ccc(cc1)CO
-18.17,c1c(c(=O)[nH]c(=O)[nH]1)Br
2.1,CCCC
-0.55,CCl
-0.03,CC(C)CBr
-1.21,CC(C)SC(C)C
2.67,CCCCCCC
-9.63,c1cnc[nH]1
-3.84,c1cc2c(cc1Cl)Oc3cc(c(c(c3O2)Cl)Cl)Cl
-9.73,CC[C@H](C)n1c(=O)c(c([nH]c1=O)C)Br
-2.49,C(I)I
-4.13,CCCN(CCC)C(=O)SCCC
-4.02,C[N+](=O)[O-]
-2.1,CCOC
-4.59,COC(CCl)(OC)OC
2.3,CC(C)C
-6.09,CC(C)CC(=O)O
-7.07,CCOP(=O)(OCC)O/C(=C/Cl)/c1ccc(cc1Cl)Cl
-0.33,CCCCl
-1.28,CCCSCCC
-4.06,CCC[C@H](CC)O
-3.88,CC#N
-1.92,CN(CC(F)(F)F)c1ccccc1
0.1,[C@@H](C(F)(F)F)(OC(F)F)Cl
1.01,C=CCCC=C
-0.83,Cc1cccc(c1)C
-3.13,CC(=O)OC
-4.04,COC(c1ccccc1)(OC)OC
-3.64,CCOC(=O)c1ccccc1
-1.1,CCCS
-3.04,CCCCCC(=O)C
-9.61,CC1(Cc2cccc(c2O1)OC(=O)NC)C
-2.38,c1ccc(cc1)CBr
-2.23,CCCCCC(=O)OCC
-1.66,CCCOC
-6.32,CN1CCOCC1
-9.65,c1cc(cc(c1)O)C#N
-4.38,c1cc(c(cc1c2c(c(cc(c2Cl)Cl)Cl)Cl)Cl)Cl
-0.53,CCCc1ccccc1
-12.64,Cn1cnc2c1c(=O)n(c(=O)n2C)C
-4.29,CNC
2.93,C(=C(F)F)(C(F)(F)F)F
-7.03,c1cc(ccc1O)Cl
-5.11,C1CCNCC1
-3.88,c1ccc2c(c1)ccc3c2cccc3
-0.89,CI
-6.44,COc1c(cc(c(c1O)OC)Cl)Cl
-0.78,C(=C/Cl)\Cl
2.3,CCCCC
-3.64,CCCC#N
0.5,[C@@H](C(F)(F)F)(F)Br
-5.04,CC(C)Cc1cnccn1
-1.82,CC[C@H](C)O[N+](=O)[O-]
-2.46,c1ccc(cc1)c2cc(ccc2Cl)Cl
-3.48,c1ccc(cc1)c2cc(c(c(c2Cl)Cl)Cl)Cl
2.52,CC[C@@H](C)C(C)C
-3.73,C[C@H](CC(C)C)O
-3.12,C1CCOCC1
0.75,C1CC1
-3.17,c1c(cc(c(c1Cl)Cl)Cl)c2cc(c(c(c2Cl)Cl)Cl)Cl
0.25,C=C(Cl)Cl
-4.5,CC(C)CO
-2.44,CCCOC(=O)CC
-0.64,C(C(Cl)(Cl)Cl)(Cl)(Cl)Cl
-2.73,CSc1ccccc1
-5.66,CCc1ccccc1O
1.09,CC(C)(C)Cl
0.68,CC(=C)C=C
-0.68,Cc1ccc(cc1)C(C)C
-8.41,Cn1ccnc1
-9.3,C(CO)O
-1.36,c1ccc(c(c1)Cl)Cl
-15.83,c1c(=O)[nH]c(=O)[nH]c1Cl
-2.48,CCCOC=O
-3.1,c1ccc2c(c1)Oc3ccc(cc3O2)Cl
-6.21,CCCCCC(=O)O
-5.71,CCOC(=O)CCC(=O)OCC
-4.86,Cc1ccnc(c1)C
0.14,C1CCC=CC1
-7.58,CN1CCN(CC1)C
-3.04,c1cc(c(cc1c2cc(c(c(c2Cl)Cl)Cl)Cl)Cl)Cl
-6.5,C1=CC(=O)C=CC1=O
-4,COC(=O)CCl
-3.18,CCCC=O
-0.79,CCc1ccccc1
-0.44,C(=C(Cl)Cl)Cl
-3.22,CCN(CC)CC
-4.15,c1cc2c(cc1Cl)Oc3c(c(c(c(c3Cl)Cl)Cl)Cl)O2
-5.22,Cc1ccncc1C
-18.06,c1(=O)[nH]c(=O)[nH]c(=O)[nH]1
-4.02,c1ccc(cc1)C=O
-4.39,c1ccnc(c1)Cl
-0.57,C=CCCl
-4.7,Cc1ccc(cc1)C(=O)C
-2.75,C=O
-1.14,Cc1ccccc1Cl
-9.8,CC(=O)N1CCCC1
-4.42,CC(OC)(OC)OC
-0.4,CCCCc1ccccc1
-3.45,CN(C)c1ccccc1
-2.01,CC(C)OC
-4.53,c12c(c(c(c(c1Cl)Cl)Cl)Cl)Oc3c(c(c(c(c3Cl)Cl)Cl)Cl)O2
-2.98,c1(c(c(c(c(c1Cl)Cl)Cl)Cl)Cl)c2c(c(c(c(c2Cl)Cl)Cl)Cl)Cl
-1.99,C(C(Cl)Cl)Cl
-4.69,CNc1ccccc1
-2.64,CC(C)OC(=O)C
-0.9,c1ccccc1
-1.24,c1cc(c(c(c1)Cl)Cl)Cl
-6.5,CCOP(=S)(OCC)SCSc1ccc(cc1)Cl
-10.03,COP(=S)(OC)SCn1c(=O)c2ccccc2nn1
-4.05,c1ccc2c(c1)Oc3c(cc(c(c3O2)Cl)Cl)Cl
0.4,CC(=C)C(=C)C
1.58,CCCCC=C
-0.7,S
-1.59,CCOCC
-7.65,CCNc1nc(nc(n1)SC)NC(C)C
-8.72,CCCCOC(=O)c1ccc(cc1)O
-2.26,CCCCCCOC(=O)C
-4.7,C1CCC(=O)C1
-6.16,CCCCC(=O)O
-0.74,CCBr
-2.63,Cc1ccc2cc(ccc2c1)C
-4.4,CCCCCCO
-2.69,c1ccc(cc1)c2ccccc2Cl
0.67,CC1=CCCCC1
-1.66,CCCCCCO[N+](=O)[O-]
-2.13,C(Br)(Br)Br
-6.13,CCc1ccc(cc1)O
-6.4,CCCOCCO
-3.82,c1ccc(cc1)OC=O
-18.72,c1c(c(=O)[nH]c(=O)[nH]1)I
-6.35,CCCC(=O)O
-0.8,COC(C(F)(F)F)(OC)OC
-20.52,C1[C@H]([C@@H]([C@H]([C@H](O1)O)O)O)O
1.79,C(F)(F)(F)Br
-4.72,CCCCO
-0.8,c1ccc(cc1)F
-2.94,CCOC(=O)C
-1.69,CC(C)COC(=O)C(C)C
-2.21,CC(C)(C)OC
